gameTitle,Distrust,不信,
log_heroNew,{0} \u304C\u53C2\u52A0\u3057\u307E\u3057\u305F\u0021,{0}の\ u304C用の\ u53C2 \ u52A0 \ u3057 \ u307E \ u3057 \ u305F \ u0021,
EquipmentRequire_description,\u5FC5\u8981\u306A\u6A5F\u5668\u000D\u000A: {0},\ u5FC5 \ u8981 \ u306A \ u6A5F \ u5668 \ u000D \ u000A：{0},
CharacterNotInStateRequire_description,\u73FE\u5728\u884C\u3048\u307E\u305B\u3093\u000D\u000A,\ u73FE \ u5728 \ u884C \ u3048 \ u307E \ u305B \ u3093 \ u000D \ u000A,
IsAvailablePlaceInInventory_description,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA\u306B {0} \u500B\u306E\u7A7A\u304D\u30B9\u30ED\u30C3\u30C8\u304C\u5FC5\u8981,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA \ u306B {0} \ u500B \ u306E \ u7A7A \ u304D \ u30B9 \ u30ED \ u30C3 \ u30C8 \ u304C \ u5FC5 \ u8981,
ItemRequire_description,\u5FC5\u8981\u306A\u30A2\u30A4\u30C6\u30E0\u000D\u000A: {0} x{1},\ u5FC5 \ u8981 \ u306A \ u30A2 \ u30A4 \ u30C6 \ u30E0 \ u000D \ u000A：{0}、X {1},
CantGoThere_description,\u3053\u306E\u5834\u6240\u306F\u5230\u9054\u53EF\u80FD\u306A\u7BC4\u56F2\u5916\u3067\u3059\u000D\u000A,\ u3053 \ u306E \ u5834 \ u6240 \ u306F \ u5230 \ u9054 \ u53EF \ u80FD \ u306A \ u7BC4 \ u56F2 \ u5916 \ u3067 \ u3059 \ u000D \ u000A,
InventoryButton,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA,
MapButton,\u5730\u56F3,\ u5730 \ u56F3,
ToolWindowButton,\u30C4\u30FC\u30EB,\ u30C4 \ u30FC \ u30EB,
PauseButton,\u30DD\u30FC\u30BA,\ u30DD \ u30FC \ u30BA,
LogButton,\u30ED\u30B0\u000D\u000A\u000D\u000A,\ u30ED \ u30B0 \ u000D \ u000A \ u000D \ u000A,
BioButton,\u7D4C\u6B74\u000D\u000A,\ u7D4C \ u6B74 \ u000D \ u000A,
Tools_caption,\u30C4\u30FC\u30EB,\ u30C4 \ u30FC \ u30EB,
ToolsWindow_BodyText,\u30C4\u30FC\u30EB\u3092\u5229\u7528\u3057\u3066\u3055\u307E\u3056\u307E\u306A\u4F5C\u696D\u3092\u884C\u3044\u307E\u3059\uFF0E\u30C4\u30FC\u30EB\u306F\u6D88\u8017\u3057\u307E\u3059\u3002\u000D\u000A,\ u30C4 \ u30FC \ u30EB \ u3092 \ u5229 \ u7528 \ u3057 \ u3066 \ u3055 \ u307E \ u3056 \ u307E \ u306A \ u4F5C \ u696D \ u3092 \ u884C \ u3044 \ u307E \ u3059 \ uFF0E \ u30C4 \ u30FC \ u30EB \ u306F \ u6D88 \ u8017 \ u3057 \ u307E \ u3059 \ u3002 \ u000D \ u000A,
ui_repair,\u4FEE\u7406,\ u4FEE \ u7406,
ui_youNeed,\u5FC5\u8981:,\ u5FC5の\ u8981の：,
ui_inStock,\u30D0\u30C3\u30AF\u30D1\u30C3\u30AF:,\ u30D0 \ u30C3 \ u30AF \ u30D1 \ u30C3 \ u30AF：,
ui_canNotBeRepaired,\u3053\u306E\u30C4\u30FC\u30EB\u306F\u4FEE\u7406\u3067\u304D\u307E\u305B\u3093,\ u3053 \ u306E \ u30C4 \ u30FC \ u30EB \ u306F \ u4FEE \ u7406 \ u3067 \ u304D \ u307E \ u305B \ u3093,
ui_chooseTool,\u30C4\u30FC\u30EB\u3092\u9078\u629E,\ u30C4 \ u30FC \ u30EB \ u3092 \ u9078 \ u629E,
ui_findWorkbench,\u4FEE\u7406\u3092\u884C\u3046\u306B\u306F\uFF0C\u30EF\u30FC\u30AF\u30D9\u30F3\u30C1\u306B\u884C\u304F\u5FC5\u8981\u304C\u3042\u308A\u307E\u3059,\ u4FEE \ u7406 \ u3092 \ u884C \ u3046 \ u306B \ u306F \ uFF0C \ u30EF \ u30FC \ u30AF \ u30D9 \ u30F3 \ u30C1 \ u306B \ u884C \ u304F \ u5FC5 \ u8981 \ u304C \ u3042 \ u308A \ u307E \ u3059,
ui_repairInProgress,\u3053\u306E\u30C4\u30FC\u30EB\u306F\u4FEE\u7406\u4E2D\u3067\u3059\u2026\u000D\u000A,\ u3053 \ u306E \ u30C4 \ u30FC \ u30EB \ u306F \ u4FEE \ u7406 \ u4E2D \ u3067 \ u3059 \ています... \ u000D \ u000A,
hero_busy_description,\u3053\u306E\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u4F5C\u696D\u4E2D\u3067\u3059\uFF0E\u4F5C\u696D\u304C\u7D42\u4E86\u3059\u308B\u307E\u3067\u5F85\u3064\u304B\u4F5C\u696D\u3092\u30AD\u30E3\u30F3\u30BB\u30EB\u3057\u3066\u304F\u3060\u3055\u3044,\ u3053 \ u306E \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u4F5C \ u696D \ u4E2D \ u3067 \ u3059 \ uFF0E \ u4F5C \ u696D \ u304C \ u7D42 \ u4E86 \ u3059 \ u308B \ u307E \ u3067 \ u5F85 \ u3064 \ u304B \ u4F5C \ u696D \ u3092 \ u30AD \ u30E3 \ u30F3 \ u30BB \ u30EB \ u3057 \ u3066 \ u304F \ u3060 \ u3055 \ u3044,
equipment_unknown,\u7D20\u624B\u3067\u306F\u884C\u3048\u307E\u305B\u3093\uFF0E\u30C4\u30FC\u30EB\u304C\u5FC5\u8981\u3067\u3059,\ u7D20 \ u624B \ u3067 \ u306F \ u884C \ u3048 \ u307E \ u305B \ u3093 \ uFF0E \ u30C4 \ u30FC \ u30EB \ u304C \ u5FC5 \ u8981 \ u3067 \ u3059,
inventory_label,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA,
exchange_label,\u4EA4\u63DB,\ u4EA4 \ u63DB,
not_enough_items_in_inventory,\u5FC5\u8981\u306A\u30A2\u30A4\u30C6\u30E0: {0} x{1},\ u5FC5 \ u8981 \ u306A \ u30A2 \ u30A4 \ u30C6 \ u30E0：{0}、X {1},
task_in_progress_message,\u305D\u306E\u30BF\u30B9\u30AF\u306F\u65E2\u306B\u8AB0\u304B\u306B\u3088\u3063\u3066\u5B8C\u4E86\u3057\u3066\u3044\u307E\u3059,\ u305D \ u306E \ u30BF \ u30B9 \ u30AF \ u306F \ u65E2 \ u306B \ u8AB0 \ u304B \ u306B \ u3088 \ u3063 \ u3066 \ u5B8C \ u4E86 \ u3057 \ u3066 \ u3044 \ u307E \ u3059,
remove_item_confirmation,\u30A2\u30A4\u30C6\u30E0\u3092\u843D\u3068\u3057\u307E\u3057\u305F\uFF0E\u30AD\u30E3\u30F3\u30BB\u30EB\u3057\u307E\u3059\u304B\uFF1F,\ u30A2 \ u30A4 \ u30C6 \ u30E0 \ u3092 \ u843D \ u3068 \ u3057 \ u307E \ u3057 \ u305F \ uFF0E \ u30AD \ u30E3 \ u30F3 \ u30BB \ u30EB \ u3057 \ u307E \ u3059 \ u304B \ uFF1F,
task_is_blocked,\u30BF\u30B9\u30AF\u3092\u884C\u3048\u307E\u305B\u3093,\ u30BF \ u30B9 \ u30AF \ u3092 \ u884C \ u3048 \ u307E \ u305B \ u3093,
this_task_cant_be_cancelled,\u30BF\u30B9\u30AF\u3092\u30AD\u30E3\u30F3\u30BB\u30EB\u3067\u304D\u307E\u305B\u3093,\ u30BF \ u30B9 \ u30AF \ u3092 \ u30AD \ u30E3 \ u30F3 \ u30BB \ u30EB \ u3067 \ u304D \ u307E \ u305B \ u3093,
this_task_does_not_allowed,\u3053\u306E\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u73FE\u6642\u70B9\u3067\u4F5C\u696D\u3092\u5B8C\u4E86\u3067\u304D\u307E\u305B\u3093,\ u3053 \ u306E \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u73FE \ u6642 \ u70B9 \ u3067 \ u4F5C \ u696D \ u3092 \ u5B8C \ u4E86 \ u3067 \ u304D \ u307E \ u305B \ u3093,
task_is_restricted,\u3053\u306E\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u73FE\u6642\u70B9\u3067\u4F5C\u696D\u3092\u5B8C\u4E86\u3067\u304D\u307E\u305B\u3093,\ u3053 \ u306E \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u73FE \ u6642 \ u70B9 \ u3067 \ u4F5C \ u696D \ u3092 \ u5B8C \ u4E86 \ u3067 \ u304D \ u307E \ u305B \ u3093,
PoisonEffect_task_restriction,\u89E3\u6BD2\u304C\u5148\u3060\uFF01,\ u89E3 \ u6BD2 \ u304C \ u5148 \ u3060 \ uFF01,
Hyperopic_task_restriction,\u3053\u306E\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u76EE\u304C\u60AA\u3059\u304E\u3066\u30ED\u30C3\u30AF\u30D4\u30C3\u30AF\u3092\u4F7F\u3048\u307E\u305B\u3093,\ u3053 \ u306E \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u76EE \ u304C \ u60AA \ u3059 \ u304E \ u3066 \ u30ED \ u30C3 \ u30AF \ u30D4 \ u30C3 \ u30AF \ u3092 \ u4F7F \ u3048 \ u307E \ u305B \ u3093,
CantDropBodyIfNotCarry_task_restriction,\u4F53\u3092\u843D\u3068\u3059\u3053\u3068\u304C\u3067\u304D\u308B\u552F\u4E00\u306E\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC\u306F\u305D\u308C\u3092\u904B\u3076\u3082\u306E\u3067\u3059,\ u4F53 \ u3092 \ u843D \ u3068 \ u3059 \ u3053 \ u3068 \ u304C \ u3067 \ u304D \ u308B \ u552F \ u4E00 \ u306E \ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC \ u306F \ u305D \ u308C \ u3092 \ u904B \ u3076 \ u3082 \ u306E \ u3067 \ u3059,
CanOnlyDropBody_task_restriction,\u8CA0\u62C5\u3092\u843D\u3068\u3059\u306E\u304C\u5148\u3060\uFF01,\ u8CA0 \ u62C5 \ u3092 \ u843D \ u3068 \ u3059 \ u306E \ u304C \ u5148 \ u3060 \ uFF01,
hero_fallen_description,\u5F7C\u307E\u305F\u306F\u5F7C\u5973\u304C\u660F\u7761\u72B6\u614B\u306B\u3042\u308B\u3068\u304D\u3001\u63A2\u691C\u5BB6\u306F\u30BF\u30B9\u30AF\u3092\u5B8C\u4E86\u3059\u308B\u3053\u3068\u304C\u3067\u304D\u307E\u305B\u3093\u002E\u002E\u002E,\ u5F7C \ u307E \ u305F \ u306F \ u5F7C \ u5973 \ u304C \ u660F \ u7761 \ u72B6 \ u614B \ u306B \ u3042 \ u308B \ u3068 \ u304D \ u3001 \ u63A2 \ u691C \ u5BB6 \ u306F \ u30BF \ u30B9 \ u30AF \ u3092 \ u5B8C \ u4E86 \ u3059 \ u308B \ u3053 \ u3068 \ u304C \ u3067 \ u304D \ u307E \ u305B \ u3093 \ u002E \ u002E \ u002E,
hero_cant_move_description,\u63A2\u691C\u5BB6\u306F\u52D5\u3051\u306A\u3044\uFF01,\ u63A2 \ u691C \ u5BB6 \ u306F \ u52D5 \ u3051 \ u306A \ u3044 \ uFF01,
item_break_while_task,\u30C4\u30FC\u30EB\u304C\u58CA\u308C\u305F\uFF01,\ u30C4 \ u30FC \ u30EB \ u304C \ u58CA \ u308C \ u305F \ uFF01,
name_in_inventory,\u540D\u524D:{0} {1},\ u540D \ u524D：{0} {1},
Start_Inventory_caption,\u30A4\u30F3\u30D9\u30F3\u30C8\u30EA,\ u30A4 \ u30F3 \ u30D9 \ u30F3 \ u30C8 \ u30EA,
outwearCaption,\u30B8\u30E3\u30B1\u30C3\u30C8,\ u30B8 \ u30E3 \ u30B1 \ u30C3 \ u30C8,
Bio_caption,\u7D4C\u6B74,\ u7D4C \ u6B74,
Stats_caption,\u8EAB\u4F53\u60C5\u5831,\ u8EAB \ u4F53 \ u60C5 \ u5831,
Special_caption,PERK,PERK,
Your_Team_caption,\u30C1\u30FC\u30E0,\ u30C1 \ u30FC \ u30E0,
Character_Select_caption,\u30AD\u30E3\u30E9\u30AF\u30BF\u30FC,\ u30AD \ u30E3 \ u30E9 \ u30AF \ u30BF \ u30FC,
Free_Slot_caption,\u4F7F\u7528\u53EF\u80FD,\ u4F7F \ u7528 \ u53EF \ u80FD,
Locked_Slot_caption,\u4F7F\u7528\u4E0D\u53EF,\ u4F7F \ u7528 \ u4E0D \ u53EF,
Start_Button_Caption,\u958B\u59CB,\ u958B \ u59CB,
ZoneExit_Screen,\u3088\u304F\u3084\u3063\u305F\uFF01\u30DE\u30A6\u30B9\u3092\u30AF\u30EA\u30C3\u30AF\u3057\u3088\u3046\uFF01,\ u3088 \ u304F \ u3084 \ u3063 \ u305F \ uFF01 \ u30DE \ u30A6 \ u30B9 \ u3092 \ u30AF \ u30EA \ u30C3 \ u30AF \ u3057 \ u3088 \ u3046 \ uFF01,
Loading_Message_1,\u5C4B\u5916\u306F\u5C4B\u5185\u3088\u308A\u3082\u5BD2\u3044,\ u5C4B \ u5916 \ u306F \ u5C4B \ u5185 \ u3088 \ u308A \ u3082 \ u5BD2 \ u3044,
Loading_Message_2,\u6975\u5730\u3067\u306F\u6696\u304B\u3044\u30B8\u30E3\u30B1\u30C3\u30C8\u7121\u3057\u3067\u751F\u5B58\u3067\u304D\u306A\u3044,\ u6975 \ u5730 \ u3067 \ u306F \ u6696 \ u304B \ u3044 \ u30B8 \ u30E3 \ u30B1 \ u30C3 \ u30C8 \ u7121 \ u3057 \ u3067 \ u751F \ u5B58 \ u3067 \ u304D \ u306A \ u3044,
Loading_Message_3,\u554F\u984C\u306F\u7761\u7720\u304C\u5FC5\u8981\u304B\u5426\u304B\u3067\u306F\u306A\u304F\uFF0C\u3069\u306E\u7A0B\u5EA6\u306E\u983B\u5EA6\u3067\u3069\u308C\u3060\u3051\u5FC5\u8981\u304B\u3060,\ u554F \ u984C \ u306F \ u7761 \ u7720 \ u304C \ u5FC5 \ u8981 \ u304B \ u5426 \ u304B \ u3067 \ u306F \ u306A \ u304F \ uFF0C \ u3069 \ u306E \ u7A0B \ u5EA6 \ u306E \ u983B \ u5EA6 \ u3067 \ u3069 \ u308C \ u3060 \ u3051 \ u5FC5 \ u8981 \ u304B \ u3060,
Loading_Message_4,\u98DF\u5802\u3067\u98DF\u3079\u7269\u3092\u63A2\u3059\u306E\u306F\u7406\u306B\u304B\u306A\u3063\u3066\u3044\u308B,\ u98DF \ u5802 \ u3067 \ u98DF \ u3079 \ u7269 \ u3092 \ u63A2 \ u3059 \ u306E \ u306F \ u7406 \ u306B \ u304B \ u306A \ u3063 \ u3066 \ u3044 \ u308B,
Loading_Message_5,\u533B\u7642\u65BD\u8A2D\u306B\u306F\u85AC\u304C\u3042\u308B\u3060\u308D\u3046,\ u533B \ u7642 \ u65BD \ u8A2D \ u306B \ u306F \ u85AC \ u304C \ u3042 \ u308B \ u3060 \ u308D \ u3046,
Loading_Message_6,\u30C1\u30FC\u30E0\u30E1\u30F3\u30D0\u30FC\u306E\u30E6\u30CB\u30FC\u30AF\u30B9\u30AD\u30EB\u306F\u91CD\u8981\u3067\u3059\u3002,\ u30C1 \ u30FC \ u30E0 \ u30E1 \ u30F3 \ u30D0 \ u30FC \ u306E \ u30E6 \ u30CB \ u30FC \ u30AF \ u30B9 \ u30AD \ u30EB \ u306F \ u91CD \ u8981 \ u3067 \ u3059 \ u3002,
Loading_Message_7,\u30C9\u30A2\u3092\u958B\u304F\u65B9\u6CD5\u306F\u4E00\u3064\u3067\u306F\u306A\u3044,\ u30C9 \ u30A2 \ u3092 \ u958B \ u304F \ u65B9 \ u6CD5 \ u306F \ u4E00 \ u3064 \ u3067 \ u306F \ u306A \ u3044,
Loading_Message_8,\u7A93\u3092\u958B\u3051\u308B\u3068\u5BD2\u304F\u306A\u308B,\ u7A93 \ u3092 \ u958B \ u3051 \ u308B \ u3068 \ u5BD2 \ u304F \ u306A \ u308B,
Loading_Message_9,\u5BD2\u3044\u4E2D\u6728\u7BB1\u3092\u958B\u3051\u308B\u3068\u304D\u306F\u6CE8\u610F\u304C\u5FC5\u8981\u3060,\ u5BD2 \ u3044 \ u4E2D \ u6728 \ u7BB1 \ u3092 \ u958B \ u3051 \ u308B \ u3068 \ u304D \ u306F \ u6CE8 \ u610F \ u304C \ u5FC5 \ u8981 \ u3060,
Click_to_start,\u30AF\u30EA\u30C3\u30AF\u3057\u3066\u7D9A\u884C,\ u30AF \ u30EA \ u30C3 \ u30AF \ u3057 \ u3066 \ u7D9Aの\のu884C,
BenPeres_caption,\u30D9\u30F3\u30FB\u30DA\u30EC\u30B9,\ u30D9 \ u30F3 \ u30FB \ u30DA \ u30EC \ u30B9,ベン・ペレス
BenPeres_description,\u30D9\u30F3\u306F\u6545\u90F7\u3067\u8FB2\u5BB6\u306E\u5BB6\u65CF\u3068\u3057\u3066\u80B2\u3061\uFF0C\u4F55\u3067\u3082\u5C4B\u3068\u3057\u3066\u77E5\u3089\u308C\u3066\u3044\u307E\u3059\uFF0E\u5F7C\u306F\u5FC5\u8981\u306A\u30C4\u30FC\u30EB\u3092\u6301\u3063\u3066\u3044\u306A\u304F\u3066\u3082\uFF0C\u81EA\u5206\u3067\u3067\u304D\u308B\u3053\u3068\u306F\u4F55\u3067\u3082\u69CB\u7BC9\u3057\u3066\u4FEE\u6B63\u3059\u308B\u3053\u3068\u304C\u3067\u304D\u307E\u3059\u3002\uFF0E\u5F7C\u306E\u304B\u306A\u308A\u306E\u30B9\u30AD\u30EB\u30BB\u30C3\u30C8\u306F\u4ED6\u306E\u30C0\u30E1\u30FC\u30B8\u3092\u53D7\u3051\u305F\u30A2\u30A4\u30C6\u30E0\u3092\u4FEE\u7406\u3059\u308B\u305F\u3081\u306E\u8CB4\u91CD\u306A\u30EA\u30BD\u30FC\u30B9\u3082\u7BC0\u7D04\u3057\u307E\u3059\uFF0E,\ u30D9 \ u30F3 \ u306F \ u6545 \ u90F7 \ u3067 \ u8FB2 \ u5BB6 \ u306E \ u5BB6 \ u65CF \ u3068 \ u3057 \ u3066 \ u80B2 \ u3061 \ uFF0C \ u4F55 \ u3067 \ u3082 \ u5C4B \ u3068 \ u3057 \ u3066 \ u77E5 \ u3089 \ u308C \ u3066 \ u3044 \ u307E \ u3059 \ uFF0E \ u5F7C \ u306F \ u5FC5 \ u8981 \ u306A \ u30C4 \ u30FC \ u30EB \ u3092 \ u6301 \ u3063 \ u3066 \ u3044 \ u306A \ u304F \ u3066 \ u3082 \ uFF0C \ u81EA \ u5206 \ u3067 \ u3067 \ u304D \ u308B \ u3053 \ u3068 \ u306F \ u4F55 \ u3067 \ u3082 \ u69CB \ u7BC9 \ u3057 \ u3066 \ u4FEE \ u6B63 \ u3059 \ u308B \ u3053 \ u3068 \ u304C \ u3067 \ u304D \ u307E \ u3059 \ u3002 \ uFF0E \ u5F7C \ u306E \ u304B \ u306A \ u308A \ u306E \ u30B9 \ u30AD \ u30EB \ u30BB \ u30C3 \ u30C8 \ u306F \ u4ED6 \ u306E \ u30C0 \ u30E1 \ u30FC \ u30B8 \ u3092 \ u53D7 \ u3051 \ u305F \ u30A2 \ u30A4 \ u30C6 \ u30E0 \ u3092 \ u4FEE \ u7406 \ u3059 \ u308B \ u305F \ u3081 \ u306E \ u8CB4 \ u91CD \ u306A \ u30EA \ u30BD \ u30FC \ u30B9 \ u3082 \ u7BC0 \ u7D04 \ u3057 \ u307E \ u3059 \ uFF0E,
CasperJackson_caption,\u30AD\u30E3\u30B9\u30D1\u30FC\u30FB\u30B8\u30E3\u30AF\u30BD\u30F3,\ u30AD \ u30E3 \ u30B9 \ u30D1 \ u30FC \ u30FB \ u30B8 \ u30E3 \ u30AF \ u30BD \ u30F3,キャスパー・ジャクソン
